metric_date,daily_revenue,successful_payments,failed_payments,day_of_week,day_of_month,month,quarter,week_of_year,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,days_since_start,total_payments,failure_rate,success_rate,revenue_per_payment,revenue_per_success,payment_fail_success_ratio,revenue_7d_mean,revenue_7d_std,revenue_7d_min,revenue_7d_max,payments_7d_mean,failure_rate_7d_mean,revenue_7d_zscore,revenue_14d_mean,revenue_14d_std,revenue_14d_min,revenue_14d_max,payments_14d_mean,failure_rate_14d_mean,revenue_14d_zscore,revenue_30d_mean,revenue_30d_std,revenue_30d_min,revenue_30d_max,payments_30d_mean,failure_rate_30d_mean,revenue_30d_zscore,revenue_lag_1d,total_payments_lag_1d,failure_rate_lag_1d,revenue_lag_7d,total_payments_lag_7d,failure_rate_lag_7d,revenue_lag_14d,total_payments_lag_14d,failure_rate_lag_14d,revenue_ewm_7d,failure_rate_ewm_7d,revenue_ewm_14d,failure_rate_ewm_14d,revenue_pct_change,revenue_pct_change_7d,failure_rate_change,revenue_diff,revenue_diff_7d,revenue_acceleration,revenue_momentum,revenue_volatility_7d,revenue_volatility_14d,revenue_distance_from_mean_7d,revenue_distance_from_mean_14d,revenue_distance_from_mean_30d,revenue_cv_7d,revenue_cv_14d,revenue_skew_14d,revenue_kurt_14d,day_of_week_sin,day_of_week_cos,day_of_month_sin,day_of_month_cos,month_sin,month_cos,weekend_revenue_interaction,failure_revenue_interaction,month_end_revenue_interaction,payments_success_interaction
2024-01-01,31236.203565420874,330,47,0,1,1,1,1,0,1,0,1,0,0,377,0.1246684350132626,0.8753315649867374,82.85465136716412,94.65516231945719,0.1419939577039275,31236.203565420874,14986.691970095319,31236.203565420874,31236.203565420874,377.0,0.1246684350132626,0.7071067811860756,31236.203565420874,14986.691970095319,31236.203565420874,31236.203565420874,377.0,0.1246684350132626,0.7071067811860756,31236.203565420874,14986.691970095319,31236.203565420874,31236.203565420874,377.0,0.1246684350132626,0.7071067811860756,31236.203565420874,377.0,0.1246684350132626,31236.203565420874,377.0,0.1246684350132626,31236.203565420874,377.0,0.1246684350132626,31236.203565420874,0.1246684350132626,31236.203565420874,0.1246684350132626,0.678519814190204,0.4721790462447466,0.1069058440252586,21194.38303921676,14749.08080782718,-0.7852538629923848,0.678519814190204,0.5552583314748474,0.5552583314748474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.0,3894.1686142567137,0.0,330.0
2024-01-02,52430.58660463763,456,73,1,2,1,1,1,0,0,0,0,0,1,529,0.13799621928166353,0.8620037807183365,99.11264008438116,114.97935658911761,0.15973741794310722,41833.39508502925,14986.691970095319,31236.203565420874,52430.58660463763,453.0,0.13133232714746307,0.7071067811860756,41833.39508502925,14986.691970095319,31236.203565420874,52430.58660463763,453.0,0.13133232714746307,0.7071067811860756,41833.39508502925,14986.691970095319,31236.203565420874,52430.58660463763,453.0,0.13133232714746307,0.7071067811860756,31236.203565420874,377.0,0.1246684350132626,31236.203565420874,377.0,0.1246684350132626,31236.203565420874,377.0,0.1246684350132626,36534.79932522506,0.12800038108036282,34062.12130398311,0.12644547291571606,0.678519814190204,0.4721790462447466,0.1069058440252586,21194.38303921676,14749.08080782718,-0.7852538629923848,0.678519814190204,0.5552583314748474,0.5552583314748474,0.7071067811860756,0.7071067811860756,0.7071067811860756,0.35824708799346205,0.35824708799346205,0.0,0.0,0.7818314824680298,0.6234898018587336,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387,0.0,7235.2227261598255,0.0,456.0
2024-01-03,46834.45781525128,204,42,2,3,1,1,1,0,0,0,0,0,2,246,0.17073170731707318,0.8292682926829268,190.38397485874503,229.58067556495723,0.2048780487804878,43500.415995103256,10983.503277512675,31236.203565420874,52430.58660463763,384.0,0.14446545387066642,0.3035499453959295,43500.415995103256,10983.503277512675,31236.203565420874,52430.58660463763,384.0,0.14446545387066642,0.3035499453959295,43500.415995103256,10983.503277512675,31236.203565420874,52430.58660463763,384.0,0.14446545387066642,0.3035499453959295,52430.58660463763,529.0,0.13799621928166353,31236.203565420874,377.0,0.1246684350132626,31236.203565420874,377.0,0.1246684350132626,39109.713947731616,0.13868321263954042,35765.09950548554,0.13235030416923035,-0.10673404880218074,0.4721790462447466,0.23722018042098236,-5596.1287893863555,14749.08080782718,-0.7852538629923848,0.28589288269401164,0.5552583314748474,0.5552583314748474,0.3035499453959295,0.3035499453959295,0.3035499453959295,0.25249191361173506,0.25249191361173506,-1.240110330756008,0.0,0.9749279121818236,-0.22252093395631434,0.5712682150947923,0.8207634412072763,0.49999999999999994,0.8660254037844387,0.0,7996.126944067291,0.0,204.0
2024-01-04,40129.17322149889,417,56,3,4,1,1,1,0,0,0,0,0,3,473,0.11839323467230443,0.8816067653276956,84.83968968604417,96.2330293081508,0.1339712918660287,42657.60530170217,9125.032362923399,31236.203565420874,52430.58660463763,406.25,0.13794739907107592,-0.2770874644208356,42657.60530170217,9125.032362923399,31236.203565420874,52430.58660463763,406.25,0.13794739907107592,-0.2770874644208356,42657.60530170217,9125.032362923399,31236.203565420874,52430.58660463763,406.25,0.13794739907107592,-0.2770874644208356,46834.45781525128,246.0,0.17073170731707318,31236.203565420874,377.0,0.1246684350132626,31236.203565420874,377.0,0.1246684350132626,39364.578766173436,0.13361071814773143,36346.97600095398,0.13048936156964022,-0.14316989897060073,0.4721790462447466,-0.306553911205074,-6705.284593752389,14749.08080782718,-0.03643585016841999,0.1428719554724742,0.4642422473300343,0.4642422473300343,-0.2770874644208356,-0.2770874644208356,-0.2770874644208356,0.21391337601778465,0.21391337601778465,-0.43850560226867846,-0.7669815776964857,0.43388373911755823,-0.900968867902419,0.72479278722912,0.6889669190756866,0.49999999999999994,0.8660254037844387,0.0,4751.022622418473,0.0,417.0
2024-01-05,22511.140517685308,454,51,4,5,1,1,1,0,0,0,0,0,4,505,0.100990099009901,0.899009900990099,44.57651587660457,49.584009950848696,0.11208791208791209,38628.3123448988,11984.392782991796,22511.140517685308,52430.58660463763,426.0,0.13055593905884094,-1.3448467618712787,38628.3123448988,11984.392782991796,22511.140517685308,52430.58660463763,426.0,0.13055593905884094,-1.3448467618712787,38628.3123448988,11984.392782991796,22511.140517685308,52430.58660463763,426.0,0.13055593905884094,-1.3448467618712787,40129.17322149889,473.0,0.11839323467230443,31236.203565420874,377.0,0.1246684350132626,31236.203565420874,377.0,0.1246684350132626,35151.219204051406,0.12545556336327382,34502.19793651816,0.126556126561675,-0.4390330348090715,0.4721790462447466,-0.14699434229137187,-17618.03270381358,14749.08080782718,-0.2958631358384708,-0.002604292097912242,0.47784299782041584,0.47784299782041584,-1.3448467618712787,-1.3448467618712787,-1.3448467618712787,0.31024893544362514,0.31024893544362514,-0.34016054418496394,-1.2559996208921334,-0.433883739117558,-0.9009688679024191,0.8486442574947509,0.5289640103269624,0.49999999999999994,0.8660254037844387,0.0,2273.4023097068334,0.0,454.0
2024-01-06,19805.196049176964,597,52,5,6,1,1,1,1,0,0,0,0,5,649,0.08012326656394453,0.9198767334360555,30.516480815372827,33.17453274569006,0.08695652173913043,35491.12629561182,13189.09224126761,19805.196049176964,52430.58660463763,463.1666666666667,0.12215049364302488,-1.189310830456015,35491.12629561182,13189.09224126761,19805.196049176964,52430.58660463763,463.1666666666667,0.12215049364302488,-1.189310830456015,35491.12629561182,13189.09224126761,19805.196049176964,52430.58660463763,463.1666666666667,0.12215049364302488,-1.189310830456015,22511.140517685308,505.0,0.100990099009901,31236.203565420874,377.0,0.1246684350132626,31236.203565420874,377.0,0.1246684350132626,31314.713415332793,0.1141224891634415,32542.59768487267,0.1203650785619776,-0.12020468116142258,0.4721790462447466,-0.20662255657270623,-2705.9444685083436,14749.08080782718,0.31882835364764894,-0.026124369910614308,0.41715275167027155,0.41715275167027155,-1.189310830456015,-1.189310830456015,-1.189310830456015,0.3716166156973895,0.3716166156973895,0.03878755248602925,-1.886826087293004,-0.9749279121818236,-0.2225209339563146,0.9377521321470804,0.3473052528448203,0.49999999999999994,0.8660254037844387,19805.196049176964,1586.8570023993868,0.0,597.0
2024-01-07,17833.350952705834,558,20,6,7,1,1,1,1,0,0,0,0,6,578,0.03460207612456748,0.9653979238754326,30.85354836108276,31.959410309508662,0.03577817531305903,32968.58696091097,13765.992929062999,17833.350952705834,52430.58660463763,479.57142857142856,0.10964357685467382,-1.0994656241788687,32968.58696091097,13765.992929062999,17833.350952705834,52430.58660463763,479.57142857142856,0.10964357685467382,-1.0994656241788687,32968.58696091097,13765.992929062999,17833.350952705834,52430.58660463763,479.57142857142856,0.10964357685467382,-1.0994656241788687,19805.196049176964,649.0,0.08012326656394453,31236.203565420874,377.0,0.1246684350132626,31236.203565420874,377.0,0.1246684350132626,27944.372799676054,0.094242385903723,30581.364787250426,0.10893001157032292,-0.09956200845348728,0.4721790462447466,-0.5681394729837637,-1971.84509647113,14749.08080782718,0.020642672707935295,-0.038363976334426474,0.37431535150635,0.37431535150635,-1.0994656241788687,-1.0994656241788687,-1.0994656241788687,0.41754876984507705,0.41754876984507705,0.31375796160165004,-1.7935203114487244,-0.7818314824680299,0.6234898018587334,0.9884683243281114,0.1514277775045767,0.49999999999999994,0.8660254037844387,17833.350952705834,617.0709672216552,0.0,558.0
2024-01-08,45985.284373248054,482,38,0,8,1,1,2,0,0,0,0,0,7,520,0.07307692307692308,0.926923076923077,88.43323917932318,95.40515430134451,0.07867494824016563,35075.59850488628,14562.349534034287,17833.350952705834,52430.58660463763,500.0,0.10227336086376816,0.7491707188360499,34595.674137453105,13550.279269772978,17833.350952705834,52430.58660463763,484.625,0.10507274513245497,0.8405443171340161,34595.674137453105,13550.279269772978,17833.350952705834,52430.58660463763,484.625,0.10507274513245497,0.8405443171340161,17833.350952705834,578.0,0.03460207612456748,31236.203565420874,377.0,0.1246684350132626,31236.203565420874,377.0,0.1246684350132626,32454.600693069053,0.08895102019702301,32635.22073205011,0.10414959977120294,1.5786115293307095,0.4721790462447466,1.1119230769230768,28151.93342054222,14749.08080782718,1.6781735377841969,0.19263252447487864,0.7001968787520443,0.7001968787520443,0.7491707188360499,0.8405443171340161,0.8405443171340161,0.4151703792595727,0.3916755376967665,-0.04554329683297092,-1.9544086351474883,0.0,1.0,0.9987165071710528,-0.05064916883871264,0.49999999999999994,0.8660254037844387,0.0,3360.463088814281,0.0,482.0
2024-01-09,41942.607764636414,592,21,1,9,1,1,2,0,0,0,0,0,8,613,0.03425774877650897,0.965742251223491,68.42187237297946,70.84899960242637,0.03541315345699832,33577.315813457535,12926.83507782209,17833.350952705834,46834.45781525128,512.0,0.0874535793630318,0.6471260676578376,35412.00009602903,12909.543074351566,17833.350952705834,52430.58660463763,498.8888888888889,0.09720441220401653,0.5058744241364526,35412.00009602903,12909.543074351566,17833.350952705834,52430.58660463763,498.8888888888889,0.09720441220401653,0.5058744241364526,45985.284373248054,520.0,0.07307692307692308,52430.58660463763,529.0,0.13799621928166353,31236.203565420874,377.0,0.1246684350132626,34826.602460960894,0.07527770234189451,33876.20566972828,0.09483068630524374,-0.08791239770963488,-0.2000355044487243,-0.5312097535846141,-4042.6766086116404,-10487.978840001218,-1.6665239270403442,0.08314220848918738,0.6708646291762488,0.655800632354693,0.6471260676578376,0.5058744241364526,0.5058744241364526,0.38498714875348267,0.36455277983000883,-0.2590832806929503,-1.692294863760105,0.7818314824680298,0.6234898018587336,0.9680771188662043,-0.2506525322587204,0.49999999999999994,0.8660254037844387,0.0,1436.8593198325689,0.0,592.0
2024-01-10,46116.816894790485,406,72,2,10,1,1,2,0,0,0,0,0,9,478,0.1506276150627615,0.8493723849372385,96.47869643261608,113.58821895268592,0.1769041769041769,33474.795681963136,12806.457299911668,17833.350952705834,46116.816894790485,545.1428571428571,0.08458156618384442,0.9871599082210405,36482.48177590517,12633.219927080478,17833.350952705834,52430.58660463763,496.8,0.10254673248989103,0.7626191243790188,36482.48177590517,12633.219927080478,17833.350952705834,52430.58660463763,496.8,0.10254673248989103,0.7626191243790188,41942.607764636414,613.0,0.03425774877650897,46834.45781525128,246.0,0.17073170731707318,31236.203565420874,377.0,0.1246684350132626,37649.15606941829,0.09411518052211126,35508.28716640324,0.10227027680624612,0.09952192657113512,-0.015322925767427109,3.3968918111177526,4174.209130154071,-717.6409204607917,0.18743432428077,0.11260734782823249,0.6656443050541703,0.6137503452173595,0.9871599082210405,0.7626191243790188,0.7626191243790188,0.3825701408779086,0.34628181286232057,-0.4730164356752889,-1.5015192265939739,0.9749279121818236,-0.22252093395631434,0.8978045395707416,-0.4403941515576344,0.49999999999999994,0.8660254037844387,0.0,6946.466143148358,0.0,406.0
2024-01-11,22786.953524461864,214,63,3,11,1,1,2,0,0,0,0,0,10,277,0.22743682310469315,0.7725631768953068,82.26337012441105,106.4810912358031,0.2930232558139535,30997.33572524356,12980.861977874105,17833.350952705834,46116.816894790485,517.1428571428571,0.10015922167418567,-0.6324989985079555,35237.43375304669,12676.356397831629,17833.350952705834,52430.58660463763,476.8181818181818,0.11390037709123667,-0.982181301774123,35237.43375304669,12676.356397831629,17833.350952705834,52430.58660463763,476.8181818181818,0.11390037709123667,-0.982181301774123,46116.816894790485,478.0,0.1506276150627615,40129.17322149889,473.0,0.11839323467230443,31236.203565420874,377.0,0.1246684350132626,33933.60543317918,0.12744559116775672,33812.10934747772,0.11895914964603906,-0.5058862458688913,-0.4321599052468409,0.5099277978339352,-23329.86337032862,-17342.219697037024,-0.6054081724400264,0.06079072684276242,0.701998532180116,0.61481720431599,-0.6324989985079555,-0.982181301774123,-0.982181301774123,0.41877347436988216,0.35974119133269783,-0.2047481804113839,-1.7923941570604163,0.43388373911755823,-0.900968867902419,0.7907757369376989,-0.6121059825476626,0.49999999999999994,0.8660254037844387,0.0,5182.592317837897,0.0,214.0
